# Complete accepted GK 1.407 owner-task route snapshot from read-only probe 0.1.2.
# Player runtime evidence: LogOutput(20260919-152112).log.
npc	task	kind	answer	completeNode	trace
npc_inquisitor	dlc_souls_s21_2	SELECTABLE	@souls_s_s22_ask	1996	736
npc_inquisitor	inq_get_perm	SELECTABLE	@inquisitor_grave_2a	787	736
npc_inquisitor	inquisitor_burn	SELECTABLE	@inquisitor_flyer	805	736
npc_inquisitor	inquisitor_evidence	SELECTABLE	inquisitor_dark_hart	1575	1556
npc_inquisitor	inquisitor_guards	SELECTABLE	@inquisitor_portal_done	1409	843
npc_inquisitor	inquisitor_talk	EVENT_OR_UNRESOLVED	<none>	676	<none>
npc_inquisitor	inquisitor_tent	SELECTABLE	@inquisitor_tent_ready	1270	843
npc_inquisitor	inquisitor_wine	SELECTABLE	@inquisitor_wine_ready	1183	843
npc_inquisitor	s_ev_15_1_inq_beatrice	SELECTABLE	@refugees_s15_1_2	1902	736
npc_merchant	dlc_souls_s23_2	SELECTABLE	@souls_s_s24_ask	1586	38
npc_merchant	dlc_stories_buy_vase_from_m	SELECTABLE	@tr_quest_15_merchant_vase_1	1491	38
npc_merchant	merchant_curse	SELECTABLE	@merchant_on_cure	683	38
npc_merchant	merchant_debt	SELECTABLE	@merchant_2e_1f	292	190
npc_merchant	merchant_dinner	SELECTABLE	@merchant_dinner	796	38
npc_merchant	merchant_garden	SELECTABLE	merchant_2e_1a	274	190
npc_merchant	merchant_get_along	SELECTABLE	@merchant_forgive_pay	326	38
npc_merchant	merchant_grass	SELECTABLE	@merchant_favore_done	352	38
npc_merchant	merchant_marketing	SELECTABLE	@merchant_marketing_done	979	938
npc_merchant	merchant_sales	SELECTABLE	@merchant_sales_done	1001	938
npc_merchant	merchant_show	SELECTABLE	@merchant_ceremony	1177	38
npc_merchant	merchant_strategy	SELECTABLE	@merchant_strategy	916	38
npc_merchant	merchant_support	SELECTABLE	@merchant_actress	1258	38
npc_merchant	merchant_trade	SELECTABLE	@merchant_traide_license	823	38
